,0
t,1.0001123624526693
t_std,1.0001919442425722
t_subj.1,1.000254027026076
t_subj.2,1.0031440837575591
t_subj.3,1.001694775057986
t_subj.4,0.9999165602912843
t_subj.5,1.000618323636076
t_subj.6,1.0009581351694605
t_subj.7,1.0000812300136934
t_subj.8,1.00008218394508
t_subj.9,1.0006500043482718
t_subj.10,0.9998618457493759
t_subj.11,1.0004432519077406
t_subj.12,1.0008870011669024
t_subj.13,1.000802228700348
t_subj.14,1.0008141729918034
t_subj.15,1.0003819517293193
t_subj.16,1.0118134035840232
t_subj.17,0.9998542724715889
z_trans,1.0012313575877496
z_std,1.0062230574324416
z_subj_trans.1,1.0000317241912522
z_subj_trans.2,1.0018921219928367
z_subj_trans.3,0.9999785657576153
z_subj_trans.4,1.001219325182124
z_subj_trans.5,1.0013525298591952
z_subj_trans.6,1.001981412140418
z_subj_trans.7,1.002407459107981
z_subj_trans.8,1.000724077962425
z_subj_trans.9,1.002028351606752
z_subj_trans.10,1.000225187327955
z_subj_trans.11,1.0014650165296548
z_subj_trans.12,1.0010618655297594
z_subj_trans.13,1.0012546642871867
z_subj_trans.14,1.0022460794357693
z_subj_trans.15,1.0022097992583683
z_subj_trans.16,1.0008624430105766
z_subj_trans.17,1.0017550291055153
a_Intercept,1.0029097826630697
a_Intercept_std,1.001070956440035
a_Intercept_subj.1,1.0011188733982155
a_Intercept_subj.2,1.0027593537375186
a_Intercept_subj.3,1.0021947220730985
a_Intercept_subj.4,1.000231962461317
a_Intercept_subj.5,1.000446133086885
a_Intercept_subj.6,1.0022832114866873
a_Intercept_subj.7,1.0007388995116995
a_Intercept_subj.8,1.0007338562997772
a_Intercept_subj.9,1.0016282074815832
a_Intercept_subj.10,1.0003317635653013
a_Intercept_subj.11,1.0011666568819797
a_Intercept_subj.12,1.0019943000101794
a_Intercept_subj.13,1.0005711626837037
a_Intercept_subj.14,1.000927364591832
a_Intercept_subj.15,1.0020184666401668
a_Intercept_subj.16,1.0059287520656908
a_Intercept_subj.17,1.0006139181682905
"a_C(cond, Treatment('Base'))[T.Delay]",1.0022966484036324
"a_C(cond, Treatment('Base'))[T.Dual]",1.0004607840139625
"a_C(cond, Treatment('Base'))[T.Switch]",1.002282177836836
v_Intercept,1.0000260418159055
v_Intercept_std,1.000654352550763
v_Intercept_subj.1,1.000155937899596
v_Intercept_subj.2,1.0014839166629725
v_Intercept_subj.3,1.0007080691876293
v_Intercept_subj.4,1.000120937267233
v_Intercept_subj.5,1.0007215482017051
v_Intercept_subj.6,1.000779883602976
v_Intercept_subj.7,1.0012501315049096
v_Intercept_subj.8,1.001520177559079
v_Intercept_subj.9,1.0013019826341083
v_Intercept_subj.10,1.0000670525948272
v_Intercept_subj.11,1.0014348025278885
v_Intercept_subj.12,1.0022762590345395
v_Intercept_subj.13,1.0012021421671256
v_Intercept_subj.14,1.0010453955247485
v_Intercept_subj.15,0.9998603337330287
v_Intercept_subj.16,1.0005492786374206
v_Intercept_subj.17,1.0007326919988269
"v_C(cond, Treatment('Base'))[T.Delay]",1.0000392192369938
"v_C(cond, Treatment('Base'))[T.Dual]",1.0006985400570543
"v_C(cond, Treatment('Base'))[T.Switch]",1.0008685293297348
