,0
t,0.999975839658879
t_std,1.0001853701876509
t_subj.1,1.0018856744706235
t_subj.2,1.0003398418469842
t_subj.3,1.0002664098418348
t_subj.4,1.0001443042913378
t_subj.5,1.0005153670159828
t_subj.6,1.0001724682469968
t_subj.7,1.000170315320356
t_subj.8,1.0015760838583825
t_subj.9,0.9998522377695235
t_subj.10,0.9999037177806059
t_subj.11,1.0005851114184023
t_subj.12,1.0001058755641299
t_subj.13,1.0001333914188486
t_subj.14,1.0002070737151847
t_subj.15,1.0002910501945779
t_subj.16,1.0005105835305397
t_subj.17,1.0004610268079481
z_trans,1.0002808149587523
z_std,1.0045387433116122
z_subj_trans.1,0.999947608420782
z_subj_trans.2,1.000303028388801
z_subj_trans.3,1.001041065194021
z_subj_trans.4,1.0005600032716424
z_subj_trans.5,1.0019941407437734
z_subj_trans.6,1.0008633211834999
z_subj_trans.7,1.003146269334428
z_subj_trans.8,1.0004291420349427
z_subj_trans.9,1.0002685885260134
z_subj_trans.10,1.0019824757426619
z_subj_trans.11,1.0000933119382676
z_subj_trans.12,1.001428858452855
z_subj_trans.13,0.9998513742495417
z_subj_trans.14,1.0006465004120462
z_subj_trans.15,1.000162697623776
z_subj_trans.16,1.0001971439561583
z_subj_trans.17,1.0006727125936483
a_Intercept,1.0007933659770225
a_Intercept_std,0.9999711247854614
a_Intercept_subj.1,1.0016146869519953
a_Intercept_subj.2,1.0011292615319827
a_Intercept_subj.3,1.0010286051887538
a_Intercept_subj.4,1.000089228678776
a_Intercept_subj.5,1.0012091652763124
a_Intercept_subj.6,1.0004342337746195
a_Intercept_subj.7,1.0000476607552369
a_Intercept_subj.8,1.0009514362572678
a_Intercept_subj.9,1.0008123404780316
a_Intercept_subj.10,1.0019745846117398
a_Intercept_subj.11,1.0009707926558151
a_Intercept_subj.12,0.9999189870463453
a_Intercept_subj.13,1.0005390212362946
a_Intercept_subj.14,1.0011537854055779
a_Intercept_subj.15,1.00112332241212
a_Intercept_subj.16,1.0010150845143115
a_Intercept_subj.17,1.001033409223679
"a_C(cond, Treatment('Base'))[T.Delay]",1.0030408039721612
"a_C(cond, Treatment('Base'))[T.Dual]",1.0017341586068735
"a_C(cond, Treatment('Base'))[T.Switch]",1.0013421197079175
v_Intercept,1.0003772918572913
v_Intercept_std,1.001101978617945
v_Intercept_subj.1,1.0002921175113275
v_Intercept_subj.2,1.0005101965921994
v_Intercept_subj.3,1.0004466327412505
v_Intercept_subj.4,1.0007993390192729
v_Intercept_subj.5,1.0011031455000967
v_Intercept_subj.6,1.0005665643002197
v_Intercept_subj.7,1.0014246798417228
v_Intercept_subj.8,1.0007988850327172
v_Intercept_subj.9,0.9998547699641651
v_Intercept_subj.10,1.0011363566441227
v_Intercept_subj.11,0.9999712952365805
v_Intercept_subj.12,1.0011469261210257
v_Intercept_subj.13,0.9998587719786184
v_Intercept_subj.14,1.0004321269283991
v_Intercept_subj.15,1.0007329648041117
v_Intercept_subj.16,1.0005017376444585
v_Intercept_subj.17,1.0008520732608153
"v_C(cond, Treatment('Base'))[T.Delay]",1.000220703443626
"v_C(cond, Treatment('Base'))[T.Dual]",1.0010515038192818
"v_C(cond, Treatment('Base'))[T.Switch]",1.0016110556060118
