,0
t,1.0002010853050103
t_std,1.0012336979913508
t_subj.1,1.0001903819077476
t_subj.2,1.0006005375465712
t_subj.3,1.0024086865782684
t_subj.4,1.0004690795282862
t_subj.5,1.0007221048981494
t_subj.6,1.0011658322663517
t_subj.7,1.000359106983427
t_subj.8,1.0010904802436174
t_subj.9,1.0004261402380599
t_subj.10,0.9999370293103925
t_subj.11,1.0000862121419667
t_subj.12,1.000856726576141
t_subj.13,1.0002740199810036
t_subj.14,1.0000060816693506
t_subj.15,1.0044430136710634
t_subj.16,0.9999451550664155
t_subj.17,1.0015842075294321
z_trans,1.0009847319727183
z_std,1.0014324232747984
z_subj_trans.1,1.0001329863432928
z_subj_trans.2,1.00094077149219
z_subj_trans.3,1.0000146302858874
z_subj_trans.4,1.000405031066474
z_subj_trans.5,1.0001957101792338
z_subj_trans.6,1.0001267523695658
z_subj_trans.7,1.0007676027586334
z_subj_trans.8,1.0001832275531457
z_subj_trans.9,1.0016294343571914
z_subj_trans.10,1.0007378336879535
z_subj_trans.11,1.0015890620110275
z_subj_trans.12,1.0004612651340214
z_subj_trans.13,1.0016488458146278
z_subj_trans.14,0.999797333993472
z_subj_trans.15,0.9998463472113758
z_subj_trans.16,1.0001981600679188
z_subj_trans.17,0.9999136216029975
a_Intercept,1.0028506338216319
a_Intercept_std,1.0000868483010645
a_Intercept_subj.1,1.000155922909835
a_Intercept_subj.2,1.002077601056318
a_Intercept_subj.3,1.0027049055821304
a_Intercept_subj.4,1.0026132018778484
a_Intercept_subj.5,1.0014858966512197
a_Intercept_subj.6,1.000002709632663
a_Intercept_subj.7,1.0004494038524727
a_Intercept_subj.8,1.0026754571195646
a_Intercept_subj.9,1.002440434138514
a_Intercept_subj.10,1.0010476770356411
a_Intercept_subj.11,1.0005728116071764
a_Intercept_subj.12,1.0024475953504834
a_Intercept_subj.13,1.0003300030400777
a_Intercept_subj.14,1.0009532791184825
a_Intercept_subj.15,1.00659507614374
a_Intercept_subj.16,1.0007299563443428
a_Intercept_subj.17,1.0034631498456716
"a_C(cond, Treatment('Base'))[T.Delay]",1.00357963402959
"a_C(cond, Treatment('Base'))[T.Dual]",1.003629980042721
"a_C(cond, Treatment('Base'))[T.Switch]",1.0023962555900396
v_Intercept,1.0004591744060278
v_Intercept_std,1.0007219792131343
v_Intercept_subj.1,1.000735892725017
v_Intercept_subj.2,1.0006584733982966
v_Intercept_subj.3,1.000427850653017
v_Intercept_subj.4,1.0004333150991305
v_Intercept_subj.5,1.0012051644204516
v_Intercept_subj.6,1.0004829311244055
v_Intercept_subj.7,1.001647158527506
v_Intercept_subj.8,0.9998884435806069
v_Intercept_subj.9,1.0007536950919904
v_Intercept_subj.10,1.0007424974462058
v_Intercept_subj.11,1.0030020048272574
v_Intercept_subj.12,1.0007380666398578
v_Intercept_subj.13,1.0016882828227078
v_Intercept_subj.14,0.9998687624771331
v_Intercept_subj.15,1.0000757513492031
v_Intercept_subj.16,1.0004558878589438
v_Intercept_subj.17,0.9998984664050383
"v_C(cond, Treatment('Base'))[T.Delay]",1.0000234759070152
"v_C(cond, Treatment('Base'))[T.Dual]",1.0018027441912267
"v_C(cond, Treatment('Base'))[T.Switch]",1.0017327233784792
