subj_idx,visit,response,rt,acc,cond,ctrl
9,3,0,0.4202,1,Base,LL
9,3,0,0.4689,1,Base,LL
9,3,0,0.505,1,Base,LL
9,3,0,0.3718,1,Base,LL
9,3,1,0.4129,1,Base,LL
9,3,0,0.2981,1,Base,LL
9,3,0,0.4392,1,Base,LL
9,3,0,0.332,1,Base,LL
9,3,0,0.3041,1,Base,LL
9,3,1,0.461,1,Base,LL
9,3,1,0.4571,1,Base,LL
9,3,0,0.3603,1,Base,LL
9,3,0,0.3964,1,Base,LL
9,3,0,0.4056,1,Base,LL
9,3,1,0.4407,1,Base,LL
9,3,1,0.4119,1,Base,LL
9,3,1,0.4045,1,Base,LL
9,3,0,0.437,1,Base,LL
9,3,0,0.3382,1,Base,LL
9,3,1,0.4154,1,Base,LL
9,3,1,0.4355,1,Base,LL
9,3,0,0.4052,1,Base,LL
9,3,1,0.4983,1,Base,LL
9,3,0,0.4249,1,Base,LL
9,3,0,0.359,1,Base,LL
9,3,1,0.4342,1,Base,LL
9,3,1,0.4604,1,Base,LL
9,4,0,0.327,1,Dual,HH
9,4,1,0.4851,1,Dual,HH
9,4,0,0.5773,1,Dual,HH
9,4,0,0.6024,1,Dual,HH
9,4,0,0.2925,1,Dual,HH
9,4,1,0.6487,1,Dual,HH
9,4,1,0.627,1,Dual,HH
9,4,1,0.4792,1,Dual,HH
9,4,0,0.5502,1,Dual,HH
9,4,1,0.4483,1,Dual,HH
9,4,0,0.4002,1,Dual,HH
9,4,1,0.4574,1,Dual,HH
9,4,0,0.4416,1,Dual,HH
9,4,0,0.7177,1,Dual,HH
9,4,1,0.4105,1,Dual,HH
9,4,1,0.4386,1,Dual,HH
9,4,0,0.3266,1,Dual,HH
9,4,0,0.3938,1,Dual,HH
9,4,1,0.5309,1,Dual,HH
9,4,0,0.3952,1,Dual,HH
9,4,0,0.5477,1,Dual,HH
9,4,0,0.5218,1,Dual,HH
9,4,0,0.3545,1,Dual,HH
9,4,1,0.4377,1,Dual,HH
9,4,1,0.4867,1,Dual,HH
9,4,1,0.4661,1,Dual,HH
9,4,1,0.4681,1,Dual,HH
9,4,1,0.4923,1,Dual,HH
9,4,0,0.4407,1,Dual,HH
9,4,0,0.5509,1,Dual,HH
9,4,0,0.6421,1,Dual,HH
9,4,1,0.4742,0,Dual,HH
