,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
4285,4$,0.88393441,1,430.8021566,0.002156628,0.499957858,-4.21E-05,spatialBaseline1,Match,E,1015,456,1115,556,spatial,yes,yes,6,13,108,4,1
4286,4$,1.087117778,1,434.7017393,0.001739327,0.499944257,-5.57E-05,spatialBaseline1,Match,B,845,579,945,679,spatial,yes,yes,6,13,108,4,1
4287,1!,0.959297623,1,438.2013618,0.001361824,0.499940132,-5.99E-05,SpatialBranchTaskCue,NonMatch,T,805,456,905,556,spatial,yes,yes,6,13,108,4,0
4288,4$,1.524450697,1,442.1009326,0.0009326,0.499946689,-5.33E-05,SpatialBranchBack,Match,E,1015,456,1115,556,spatial,yes,yes,6,13,108,4,1
4289,1!,1.430616565,1,445.6005532,0.000553219,0.499942966,-5.70E-05,SpatialBranchStart,NonMatch,B,805,456,905,556,spatial,yes,yes,6,13,108,4,0
4290,4$,1.759698396,1,449.1001746,0.000174559,0.499958713,-4.13E-05,SpatialBranchBack,Match,A,1015,456,1115,556,spatial,yes,yes,6,13,108,4,1
4291,1!,1.389969193,1,452.9997508,-0.000249249,0.499948115,-5.19E-05,SpatialBranchStart,NonMatch,B,805,456,905,556,spatial,yes,yes,6,13,108,4,0
4292,1!,1.58003576,1,456.8993269,-0.000673073,0.499964801,-3.52E-05,ReturnSpatialBranchBack,NonMatch,T,910,380,1010,480,spatial,yes,yes,6,13,108,4,0
4293,1!,1.183310402,1,460.3989572,-0.001042812,0.499944693,-5.53E-05,spatialBaseline2,NonMatch,L,1015,456,1115,556,spatial,yes,yes,6,13,108,4,0
4294,4$,0.880572166,1,467.3982043,-0.001795671,0.499936376,-6.36E-05,verbalInit,Match,T,910,380,1010,480,verbal,yes,no,6,14,118,4,1
4295,4$,1.111862313,1,470.8978229,-0.002177115,0.499940602,-5.94E-05,verbalBaseline1,Match,A,805,456,905,556,verbal,yes,no,6,14,118,4,1
